year,sector,industry,wage_type,annual_wage_kes,monthly_wage_kes
2023,Public,"Professional, scientific and technical activities",real,901791.8,75149.31666666667
2019,Public,Public administration and defence; compulsory social security,real,631147.0,52595.583333333336
2020,Public,Public administration and defence; compulsory social security,real,591658.0,49304.833333333336
2021,Public,Public administration and defence; compulsory social security,real,583936.6,48661.38333333333
2022,Public,Public administration and defence; compulsory social security,real,514049.7,42837.475
2023,Public,Public administration and defence; compulsory social security,real,463525.6,38627.13333333333
2019,Public,Education,real,687823.8,57318.65
2020,Public,Education,real,639862.5,53321.875
2021,Public,Education,real,613529.1,51127.424999999996
2022,Public,Education,real,603779.9,50314.99166666667
2023,Public,Education,real,547804.1,45650.34166666667
2019,Public,Human health and social work activities,real,1539865.2,128322.09999999999
2020,Public,Human health and social work activities,real,1620005.9,135000.49166666667
2021,Public,Human health and social work activities,real,1619774.4,134981.19999999998
2022,Public,Human health and social work activities,real,1457303.2,121441.93333333333
2023,Public,Human health and social work activities,real,1376838.1,114736.50833333335
2019,Public,"Arts, entertainment and recreation",real,838378.3,69864.85833333334
2020,Public,"Arts, entertainment and recreation",real,846379.3,70531.60833333334
2021,Public,"Arts, entertainment and recreation",real,800769.0,66730.75
2022,Public,"Arts, entertainment and recreation",real,750662.4,62555.200000000004
2023,Public,"Arts, entertainment and recreation",real,687261.2,57271.76666666666
2019,Public,Ministries and other extra-budgetary institutions,real,668106.5,55675.541666666664
2020,Public,Ministries and other extra-budgetary institutions,real,683117.9,56926.49166666667
2021,Public,Ministries and other extra-budgetary institutions,real,645648.5,53804.041666666664
2022,Public,Ministries and other extra-budgetary institutions,real,604840.4,50403.36666666667
2023,Public,Ministries and other extra-budgetary institutions,real,564945.6,47078.799999999996
2019,Public,Teachers Service Commission,real,682196.7,56849.725
2020,Public,Teachers Service Commission,real,673104.3,56092.025
2021,Public,Teachers Service Commission,real,644702.1,53725.174999999996
2022,Public,Teachers Service Commission,real,617685.3,51473.775
2023,Public,Teachers Service Commission,real,544738.0,45394.833333333336
